Code,Registration Number,Year,Make,Model,VIN Number,Engine Number,Organization,Organization ID,Active
36,A 054 BBJ,1988,Mercedes-Benz,NG 2626 AK,39711565031133,SC01021SA009328L,1PWR LESOTHO,1pwr_lesotho,Y
36,A 054 BBJ,1988,Mercedes-Benz,NG 2626 AK,39711565031133,SC01021SA009328L,,neo1,Y
36,A 054 BBJ,1988,Mercedes-Benz,NG 2626 AK,39711565031133,SC01021SA009328L,,pueco_lesotho,Y
36,A 054 BBJ,1988,Mercedes-Benz,NG 2626 AK,39711565031133,SC01021SA009328L,,smp,Y
X1,A0070,2004,Mitsubishi,Pajero,VN2005022340,32423423,1PWR BENIN,1pwr_benin,Y
P2,,2002,Pajero,Mitsubishi,H76W5201479,4G93NX3608,1PWR LESOTHO,1pwr_lesotho,Y
P2,,2002,Pajero,Mitsubishi,H76W5201479,4G93NX3608,,neo1,Y
P2,,2002,Pajero,Mitsubishi,H76W5201479,4G93NX3608,,pueco_lesotho,Y
P2,,2002,Pajero,Mitsubishi,H76W5201479,4G93NX3608,,smp,Y
X0,A 836 BCX,2004,Nissan ,X-trail,NT30164088,QR20609709A,1PWR LESOTHO,1pwr_lesotho,Y
X0,A 836 BCX,2004,Nissan ,X-trail,NT30164088,QR20609709A,,neo1,Y
X0,A 836 BCX,2004,Nissan ,X-trail,NT30164088,QR20609709A,,pueco_lesotho,Y
X0,A 836 BCX,2004,Nissan ,X-trail,NT30164088,QR20609709A,,smp,Y
T4,22021192,2022,Tractor,CP244,JD25,52201170310,1PWR LESOTHO,1pwr_lesotho,Y
T4,22021192,2022,Tractor,CP244,JD25,52201170310,,neo1,Y
T4,22021192,2022,Tractor,CP244,JD25,52201170310,,pueco_lesotho,Y
T4,22021192,2022,Tractor,CP244,JD25,52201170310,,smp,Y
T7,22021201,2022,Tractor,CP244,JD25,52201170306,1PWR LESOTHO,1pwr_lesotho,Y
T7,22021201,2022,Tractor,CP244,JD25,52201170306,,neo1,Y
T7,22021201,2022,Tractor,CP244,JD25,52201170306,,pueco_lesotho,Y
T7,22021201,2022,Tractor,CP244,JD25,52201170306,,smp,Y
M1,,,Mitsubishi,Double Cab,,,1PWR BENIN,1pwr_benin,Y
T1,,,Toyota,4Runner,,,1PWR BENIN,1pwr_benin,Y
T6,22021200,2022,Tractor,CP244,JD25,52201170312,1PWR LESOTHO,1pwr_lesotho,Y
T6,22021200,2022,Tractor,CP244,JD25,52201170312,,neo1,Y
T6,22021200,2022,Tractor,CP244,JD25,52201170312,,pueco_lesotho,Y
T6,22021200,2022,Tractor,CP244,JD25,52201170312,,smp,Y
 Big Compressor,,,,,TCLMPS10601121722,,1PWR LESOTHO,1pwr_lesotho,Y
 Big Compressor,,,,,TCLMPS10601121722,,,neo1,Y
 Big Compressor,,,,,TCLMPS10601121722,,,pueco_lesotho,Y
 Big Compressor,,,,,TCLMPS10601121722,,,smp,Y
Drill rig,Drill rig,,,,,,,1pwr_lesotho,Y
Drill rig,Drill rig,,,,,,,neo1,Y
Drill rig,Drill rig,,,,,,,pueco_lesotho,Y
Drill rig,Drill rig,,,,,,,smp,Y
Dolly trailer,A 569 BDF,2023,Trailer ,Vehicle carrier ,TCLMPS10931121723,,1PWR LESOTHO,1pwr_lesotho,Y
Dolly trailer,A 569 BDF,2023,Trailer ,Vehicle carrier ,TCLMPS10931121723,,,neo1,Y
Dolly trailer,A 569 BDF,2023,Trailer ,Vehicle carrier ,TCLMPS10931121723,,,pueco_lesotho,Y
Dolly trailer,A 569 BDF,2023,Trailer ,Vehicle carrier ,TCLMPS10931121723,,,smp,Y
X3,A 327 BGC,2002,Nissan,Xtrail,NT30119989,QR20449199A,1PWR LESOTHO,1pwr_lesotho,Y
  Offroad,A 115 BCP,2006,Nissan,Hardbody,ADNJ860000A000048,ZD30003671W,1PWR LESOTHO,1pwr_lesotho,Y
  Offroad,A 115 BCP,2006,Nissan,Hardbody,ADNJ860000A000048,ZD30003671W,,neo1,Y
  Offroad,A 115 BCP,2006,Nissan,Hardbody,ADNJ860000A000048,ZD30003671W,,pueco_lesotho,Y
  Offroad,A 115 BCP,2006,Nissan,Hardbody,ADNJ860000A000048,ZD30003671W,,smp,Y
V6,D 752 BBJ,2001,Nissan,Hardbody MP300,ADNG660000A086986,VG30263518Y,1PWR LESOTHO,1pwr_lesotho,Y
V6,D 752 BBJ,2001,Nissan,Hardbody MP300,ADNG660000A086986,VG30263518Y,,neo1,Y
V6,D 752 BBJ,2001,Nissan,Hardbody MP300,ADNG660000A086986,VG30263518Y,,pueco_lesotho,Y
V6,D 752 BBJ,2001,Nissan,Hardbody MP300,ADNG660000A086986,VG30263518Y,,smp,Y
Raider,D 753 BBJ,1998,Toyota,Hilux,AHT33LNG708000086,5L4602827,1PWR LESOTHO,1pwr_lesotho,Y
Raider,D 753 BBJ,1998,Toyota,Hilux,AHT33LNG708000086,5L4602827,,neo1,Y
Raider,D 753 BBJ,1998,Toyota,Hilux,AHT33LNG708000086,5L4602827,,pueco_lesotho,Y
Raider,D 753 BBJ,1998,Toyota,Hilux,AHT33LNG708000086,5L4602827,,smp,Y
Jeep 1,A992 BCF,2005,Jeep,Cherokee,1J4GM4851W699146,5W699146,1PWR LESOTHO,1pwr_lesotho,Y
Jeep 1,A992 BCF,2005,Jeep,Cherokee,1J4GM4851W699146,5W699146,,neo1,Y
Jeep 1,A992 BCF,2005,Jeep,Cherokee,1J4GM4851W699146,5W699146,,pueco_lesotho,Y
Jeep 1,A992 BCF,2005,Jeep,Cherokee,1J4GM4851W699146,5W699146,,smp,Y
Jeep 2,A 754 BCM,2005,Jeep,Cherokee,1J4GM48195W657353,5W657353,1PWR LESOTHO,1pwr_lesotho,Y
Jeep 2,A 754 BCM,2005,Jeep,Cherokee,1J4GM48195W657353,5W657353,,neo1,Y
Jeep 2,A 754 BCM,2005,Jeep,Cherokee,1J4GM48195W657353,5W657353,,pueco_lesotho,Y
Jeep 2,A 754 BCM,2005,Jeep,Cherokee,1J4GM48195W657353,5W657353,,smp,Y
Jeep 3,A 755 BCM,2006,Jeep,Cherokee,1J8GM48772W249688,2W249688,1PWR LESOTHO,1pwr_lesotho,Y
Jeep 3,A 755 BCM,2006,Jeep,Cherokee,1J8GM48772W249688,2W249688,,neo1,Y
Jeep 3,A 755 BCM,2006,Jeep,Cherokee,1J8GM48772W249688,2W249688,,pueco_lesotho,Y
Jeep 3,A 755 BCM,2006,Jeep,Cherokee,1J8GM48772W249688,2W249688,,smp,Y
M1,A 390 BCG,2005,Mazda,B series,AFAABHD05AR407343,G6245288,1PWR LESOTHO,1pwr_lesotho,Y
M1,A 390 BCG,2005,Mazda,B series,AFAABHD05AR407343,G6245288,,neo1,Y
M1,A 390 BCG,2005,Mazda,B series,AFAABHD05AR407343,G6245288,,pueco_lesotho,Y
M1,A 390 BCG,2005,Mazda,B series,AFAABHD05AR407343,G6245288,,smp,Y
Small Compressor ,A179BCP,2006,Rotair MDVN Ranger,Rotair ,ZA9CF52MP6RB89796,C21336,1PWR LESOTHO,1pwr_lesotho,Y
Small Compressor ,A179BCP,2006,Rotair MDVN Ranger,Rotair ,ZA9CF52MP6RB89796,C21336,,neo1,Y
Small Compressor ,A179BCP,2006,Rotair MDVN Ranger,Rotair ,ZA9CF52MP6RB89796,C21336,,pueco_lesotho,Y
Small Compressor ,A179BCP,2006,Rotair MDVN Ranger,Rotair ,ZA9CF52MP6RB89796,C21336,,smp,Y
P1,A 700 BBV,2000,Pajero,Mitsubishi,H77W0205908,4G94MC6908,1PWR LESOTHO,1pwr_lesotho,Y
P1,A 700 BBV,2000,Pajero,Mitsubishi,H77W0205908,4G94MC6908,,neo1,Y
P1,A 700 BBV,2000,Pajero,Mitsubishi,H77W0205908,4G94MC6908,,pueco_lesotho,Y
P1,A 700 BBV,2000,Pajero,Mitsubishi,H77W0205908,4G94MC6908,,smp,Y
R2,A 374 BBV,2008,Ford,Ranger,AFATXXMJ2T8C0363,WLAT919945,1PWR LESOTHO,1pwr_lesotho,Y
R2,A 374 BBV,2008,Ford,Ranger,AFATXXMJ2T8C0363,WLAT919945,,neo1,Y
R2,A 374 BBV,2008,Ford,Ranger,AFATXXMJ2T8C0363,WLAT919945,,pueco_lesotho,Y
R2,A 374 BBV,2008,Ford,Ranger,AFATXXMJ2T8C0363,WLAT919945,,smp,Y
R3,A 290 BCX,2008,Ford,Ranger,AFATXXMJ2T8D04453,WLAT929987,1PWR LESOTHO,1pwr_lesotho,Y
R3,A 290 BCX,2008,Ford,Ranger,AFATXXMJ2T8D04453,WLAT929987,,neo1,Y
R3,A 290 BCX,2008,Ford,Ranger,AFATXXMJ2T8D04453,WLAT929987,,pueco_lesotho,Y
