Code,Registration Number,Year,Make,Model,VIN Number,Engine Number,Organization,Organization ID,Active
36,A 054 BBJ,1988,Mercedes-Benz,NG 2626 AK,39711565031133,SC01021SA009328L,1PWR LESOTHO,1pwr_lesotho,Y
P2,,2002,Pajero,Mitsubishi,H76W5201479,4G93NX3608,1PWR LESOTHO,1pwr_lesotho,Y
X0,A 836 BCX,2004,Nissan ,X-trail,NT30164088,QR20609709A,1PWR LESOTHO,1pwr_lesotho,Y
T4,22021192,2022,Tractor,CP244,JD25,52201170310,1PWR LESOTHO,1pwr_lesotho,Y
T7,22021201,2022,Tractor,CP244,JD25,52201170306,1PWR LESOTHO,1pwr_lesotho,Y
T6,22021200,2022,Tractor,CP244,JD25,52201170312,1PWR LESOTHO,1pwr_lesotho,Y
 Big Compressor,,,,,TCLMPS10601121722,,1PWR LESOTHO,1pwr_lesotho,Y
Drill rig,Drill rig,,,,,,,1pwr_lesotho,Y
Dolly trailer,A 569 BDF,2023,Trailer ,Vehicle carrier ,TCLMPS10931121723,,1PWR LESOTHO,1pwr_lesotho,Y
X3,A 327 BGC,2002,Nissan,Xtrail,NT30119989,QR20449199A,1PWR LESOTHO,1pwr_lesotho,Y
  Offroad,A 115 BCP,2006,Nissan,Hardbody,ADNJ860000A000048,ZD30003671W,1PWR LESOTHO,1pwr_lesotho,Y
V6,D 752 BBJ,2001,Nissan,Hardbody MP300,ADNG660000A086986,VG30263518Y,1PWR LESOTHO,1pwr_lesotho,Y
Raider,D 753 BBJ,1998,Toyota,Hilux,AHT33LNG708000086,5L4602827,1PWR LESOTHO,1pwr_lesotho,Y
Jeep 1,A992 BCF,2005,Jeep,Cherokee,1J4GM4851W699146,5W699146,1PWR LESOTHO,1pwr_lesotho,Y
Jeep 2,A 754 BCM,2005,Jeep,Cherokee,1J4GM48195W657353,5W657353,1PWR LESOTHO,1pwr_lesotho,Y
Jeep 3,A 755 BCM,2006,Jeep,Cherokee,1J8GM48772W249688,2W249688,1PWR LESOTHO,1pwr_lesotho,Y
M1,A 390 BCG,2005,Mazda,B series,AFAABHD05AR407343,G6245288,1PWR LESOTHO,1pwr_lesotho,Y
Small Compressor ,A179BCP,2006,Rotair MDVN Ranger,Rotair ,ZA9CF52MP6RB89796,C21336,1PWR LESOTHO,1pwr_lesotho,Y
P1,A 700 BBV,2000,Pajero,Mitsubishi,H77W0205908,4G94MC6908,1PWR LESOTHO,1pwr_lesotho,Y
R2,A 374 BBV,2008,Ford,Ranger,AFATXXMJ2T8C0363,WLAT919945,1PWR LESOTHO,1pwr_lesotho,Y
R3,A 290 BCX,2008,Ford,Ranger,AFATXXMJ2T8D04453,WLAT929987,1PWR LESOTHO,1pwr_lesotho,Y
X1,A 668 BBF,2002,Nissan,Xtrail,NT30064009,QR20242876A,1PWR LESOTHO,1pwr_lesotho,Y
R1,A 838 BCF,2002,Ford,Ranger,AFAADGL05AR412419,WLAT786238,1PWR LESOTHO,1pwr_lesotho,Y
Surf 1,A 032 BDR,1992,Toyota,Surf,LN300106329,2L3023814,1PWR LESOTHO,1pwr_lesotho,Y
Surf 2,A 474 BFN,1997,Toyota,Surf,KZN1859021190,1KZ0525744,1PWR LESOTHO,1pwr_lesotho,Y
Telehandler,Telehandler,,,,,,,1pwr_lesotho,Y
T3,22021189,2022,Tractor,CP244,JD25,52201170301,1PWR LESOTHO,1pwr_lesotho,Y
Trailer,Trailer,,,,,,,1pwr_lesotho,Y
JMC,A 664 BFG,2015,JMC,Bakkie,LETEDCD17CHP50885,C8120213,1PWR LESOTHO,1pwr_lesotho,Y
X2,D 892 BBT,2004,Nissan ,Xtrail,JN1TBNT30Z0026288,QR25792516A,1PWR LESOTHO,1pwr_lesotho,Y
